ID,AdLib
1,"Pop the kettle on, gang! That was a certified floor-filler taking the disco scene by storm. Stay right where you are, we've got a mountain of top-notch vinyl to spin!"
2,"Greetings, pop fans! Coming to you live and direct through the magic of medium wave! Don't you dare touch that tuning dial, we're cued up and ready with another absolute belter."
3,"Right then, fabulous listeners! Time to slide another shiny slice of black plastic onto the turntable. Let’s see if this next belter gets your toes tapping in the Mini-Minor!"
4,"Hold onto your cardigans! That was a proper cracker, wasn't it? If you’ve just tuned in, welcome along to the music marathon!"
5,"Looking out the studio window... It’s looking a bit grey over the High Street, but inside here it is wall-to-wall sunshine and pure pop perfection!"
6,Fresh out of the sleeve! Hot off the record shop racks—this next piece of wax is dedicated to anyone currently stuck on the ring road waiting for the lights to change!
7,"Looking out the studio window... well, let's just focus on what's inside here, and that is wall-to-wall pure pop perfection!"
8,"Oh yes, mate! A certified gold-plated classic right there! Let’s keep the needle swinging with something guaranteed to put a bit of a wiggle in your walk."
9,Quick check on the studio dials... we are running at maximum power! Time for a quick jingle and then it’s straight back into the groove.
10,"Cue up the rhythm! If that tune didn’t get your flares flapping, you better check your pulse! Here comes another golden beauty, dropped right onto the platter just for you."
11,"Don't touch that dial, pop pickers, we've got another phenomenal slab of wax coming up straight after this."
12,"Settle down with a nice cup of Rosie Lee, because this next disc is an absolute stormer."
13,"Spinning the very best of British and beyond, right here on your favourite station!"
14,That one was a real mover and groover! Let's bring the tempo down just a smidge for all you lovers out there.
15,"Well, bless my soul, what a tune! Let's keep the music machine rolling along."
16,Time for a bit of a breather? Not on my watch! It's back-to-back belters all the way on this station.
17,"If that didn't get you bopping in the kitchen, I don't know what will! Pure dynamite!"
18,"A cheeky little number there. Now, let's see what else we can dig out of the crates."
19,"Straight out of the sleeve and onto the turntable, this is the sound sweeping the nation!"
20,"Cruising along nicely on the airwaves, let's pop another shiny disc on the platter."
21,"Half-past the hour, and you're tuned to the only station that matters for your daily dose of pop."
22,I'm told the switchboard is lighting up for this next one! A heavily requested favorite.
23,Top notch sounds for you all! Let's drop the needle on another massive tune.
24,"Flares flapping, platforms tapping! It's time for another massive disco smash."
25,"Sending this one out to the boys at the local garage, keep your spanners turning to this top tune!"
26,"Right, let's flip it over and see what's on the B-side! Sometimes you find a hidden gem, gang."
27,A fantastic track that's been bubbling under. I reckon it's an absolute blinder!
28,"Half-past the hour, and you're tuned to the only station that matters for your daily dose of pop."
29,Wowzers! That groove is strictly top-drawer. Let's keep the rhythm rolling.
30,"Let's crack on with the music, pop fans! No time to dally when the tunes are this good."
31,"Here comes a golden oldie from way back in... well, 1968! Let's take a trip down memory lane."
32,Dim the lights and turn up the volume! We've got a sensational groove lined up for you next.
33,"You are listening to the sweet sounds of the airwaves, bringing the disco straight to your living room."
34,That was a proper foot-stomper! Let's see if this next one can match it.
35,Whoosh! Did you feel the breeze off that one? Absolute dynamite on 45 RPM.
36,"Get your dancing shoes on, because this next piece of plastic is guaranteed to make you move."
37,"Keep your ears pinned back, gang. We are diving deep into the record box for this next little beauty."
38,"Whether you're cruising the ring road or chilling on the sofa, this next cut is guaranteed to hit the spot."
39,They don't make them like that anymore! But wait... this new one might just give it a run for its money.
40,"Hold onto your hats, we're going into overdrive with three back-to-back floor-fillers!"
41,"Greetings to the long-distance lorry drivers tuning in on the VHF, this one's for you."
42,"Flick the switch, boost the bass, and let's get down to business with another slice of plastic magic."
43,That one had a bassline you could bounce a half-penny off! Let's keep the rhythm section working hard.
44,That's a record that'll put hairs on your chest! An absolute powerhouse of a pop song.
45,Slip this one in your earholes and tell me it isn't the greatest thing you've heard all week!
46,We're spinning the wax that makes you relax... and the beats that move your feet! Here comes another.
47,"If you're stuck in traffic on the A1, honk your horn to this absolute belter!"
48,A veritable symphony of synthesizers and guitars! The kids are going wild for this sound.
49,"Turn it up, rip the knob off, and let the neighbors hear! This is the sound of the seventies!"
50,And that's another hour of pop perfection flown by. Let's start the next one with a bang!
